dataset,task_type,model,seed,features,val_score,test_score
adult,normal_easy,LGBModel,2,"[['noise_1', 'noise_2', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1']]","[0.8573, 0.8583, 0.8578, 0.8576]","[0.8588, 0.86, 0.861, 0.8617]"
adult,normal_easy,BaggedLGBModel,2,"[['noise_1', 'noise_2', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'native-country', 'AG_normal_noise_1']]","[0.8583, 0.8591, 0.8584, 0.8587]","[0.8625, 0.8622, 0.863, 0.8625]"
adult,normal_hard,LGBModel,0,"[['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_11', 'noise_12', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1']]","[0.8536, 0.853, 0.854, 0.8539, 0.8531, 0.8521, 0.8537, 0.8532, 0.8549, 0.8527]","[0.8594, 0.8611, 0.8605, 0.8627, 0.8606, 0.8616, 0.8615, 0.8598, 0.86, 0.8613]"
adult,normal_hard,BaggedLGBModel,0,"[['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_7', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_9', 'noise_10', 'noise_11', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'native-country', 'AG_normal_noise_1']]","[0.8588, 0.8585, 0.859, 0.8589, 0.8586, 0.859, 0.8584, 0.8587, 0.8586, 0.8591, 0.8588]","[0.8623, 0.8627, 0.8627, 0.8634, 0.8622, 0.864, 0.8623, 0.8615, 0.8623, 0.8622, 0.8619]"
adult,normal_hard,LGBModel,1,"[['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1']]","[0.8515, 0.851, 0.8533]","[0.8643, 0.8638, 0.8631]"
adult,normal_hard,BaggedLGBModel,1,"[['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_9', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_4', 'noise_5', 'noise_6', 'noise_8', 'noise_9', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_4', 'noise_5', 'noise_7', 'noise_8', 'noise_9', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_4', 'noise_5', 'noise_7', 'noise_8', 'noise_9', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_4', 'noise_5', 'noise_7', 'noise_8', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_4', 'noise_5', 'noise_7', 'noise_8', 'noise_9', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'native-country', 'AG_normal_noise_1']]","[0.8576, 0.8582, 0.8579, 0.8583, 0.8583, 0.8588, 0.8586, 0.8591, 0.8588, 0.8585, 0.8582]","[0.8625, 0.862, 0.8621, 0.8617, 0.8623, 0.8627, 0.8626, 0.8624, 0.863, 0.8624, 0.8629]"
adult,normal_hard,LGBModel,2,"[['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_5', 'noise_6', 'noise_7', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1']]","[0.8577, 0.8577, 0.8577, 0.8585, 0.8569, 0.8574, 0.8573, 0.8571, 0.8585]","[0.8589, 0.859, 0.8589, 0.8614, 0.861, 0.8618, 0.8587, 0.8587, 0.861]"
adult,normal_hard,BaggedLGBModel,2,"[['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_9', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1'], ['noise_1', 'noise_2', 'noise_3', 'noise_4', 'noise_5', 'noise_6', 'noise_7', 'noise_8', 'noise_10', 'noise_11', 'noise_12', 'noise_13', 'noise_14', 'age', 'fnlwgt', 'education-num', 'capitalgain', 'capitalloss', 'hoursperweek', 'workclass', 'education', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country', 'AG_normal_noise_1']]","[0.8586, 0.8586, 0.8579, 0.8586, 0.8586, 0.8582, 0.8578, 0.8586, 0.8585, 0.8584, 0.858]","[0.8629, 0.8626, 0.8628, 0.8628, 0.8637, 0.8625, 0.8616, 0.8628, 0.8632, 0.8628, 0.8625]"
airlines,original,LGBModel,0,"[['Flight', 'DayOfWeek', 'Time', 'Length', 'Airline', 'AirportFrom', 'AirportTo', 'AG_normal_noise_1']]",[0.6662],[0.6669]
airlines,original,BaggedLGBModel,0,"[['Flight', 'DayOfWeek', 'Time', 'Length', 'Airline', 'AirportFrom', 'AirportTo', 'AG_normal_noise_1']]",[0.6666],[0.6686]
airlines,original,LGBModel,1,"[['Flight', 'DayOfWeek', 'Time', 'Length', 'Airline', 'AirportFrom', 'AirportTo', 'AG_normal_noise_1']]",[0.6681],[0.6684]
airlines,original,BaggedLGBModel,1,"[['Flight', 'DayOfWeek', 'Time', 'Length', 'Airline', 'AirportFrom', 'AirportTo', 'AG_normal_noise_1']]",[0.6668],[0.6682]
airlines,original,LGBModel,2,"[['Flight', 'DayOfWeek', 'Time', 'Length', 'Airline', 'AirportFrom', 'AirportTo', 'AG_normal_noise_1']]",[0.6677],[0.667]
airlines,original,BaggedLGBModel,2,"[['Flight', 'DayOfWeek', 'Time', 'Length', 'Airline', 'AirportFrom', 'AirportTo', 'AG_normal_noise_1']]",[0.6671],[0.6687]
airlines,normal_easy,LGBModel,0,"[['noise_1', 'noise_2', 'Flight', 'DayOfWeek', 'Time', 'Length', 'Airline', 'AirportFrom', 'AirportTo', 'AG_normal_noise_1']]",[0.6662],[0.6666]
airlines,normal_easy,BaggedLGBModel,0,"[['noise_1', 'noise_2', 'Flight', 'DayOfWeek', 'Time', 'Length', 'Airline', 'AirportFrom', 'AirportTo', 'AG_normal_noise_1'], ['noise_2', 'Flight', 'DayOfWeek', 'Time', 'Length', 'Airline', 'AirportFrom', 'AirportTo', 'AG_normal_noise_1'], ['Flight', 'DayOfWeek', 'Time', 'Length', 'Airline', 'AirportFrom', 'AirportTo', 'AG_normal_noise_1']]","[0.6658, 0.6664, 0.6666]","[0.6675, 0.6675, 0.6686]"
airlines,normal_easy,LGBModel,1,"[['noise_1', 'noise_2', 'Flight', 'DayOfWeek', 'Time', 'Length', 'Airline', 'AirportFrom', 'AirportTo', 'AG_normal_noise_1']]",[0.6677],[0.6681]
airlines,normal_easy,BaggedLGBModel,1,"[['noise_1', 'noise_2', 'Flight', 'DayOfWeek', 'Time', 'Length', 'Airline', 'AirportFrom', 'AirportTo', 'AG_normal_noise_1'], ['noise_1', 'Flight', 'DayOfWeek', 'Time', 'Length', 'Airline', 'AirportFrom', 'AirportTo', 'AG_normal_noise_1']]","[0.6668, 0.6669]","[0.6679, 0.6678]"
airlines,normal_easy,LGBModel,2,"[['noise_1', 'noise_2', 'Flight', 'DayOfWeek', 'Time', 'Length', 'Airline', 'AirportFrom', 'AirportTo', 'AG_normal_noise_1'], ['noise_2', 'Flight', 'DayOfWeek', 'Time', 'Length', 'Airline', 'AirportFrom', 'AirportTo', 'AG_normal_noise_1']]","[0.6673, 0.6677]","[0.667, 0.6674]"
airlines,normal_easy,BaggedLGBModel,2,"[['noise_1', 'noise_2', 'Flight', 'DayOfWeek', 'Time', 'Length', 'Airline', 'AirportFrom', 'AirportTo', 'AG_normal_noise_1'], ['noise_1', 'Flight', 'DayOfWeek', 'Time', 'Length', 'Airline', 'AirportFrom', 'AirportTo', 'AG_normal_noise_1']]","[0.6665, 0.6669]","[0.6677, 0.6684]"
